ID,Phylum,Class,Family,Genus,species nov.,Strain,Clonal,Axenic,PCR,Principle Investigator
MMETSP0121,Dinophyta,Dinophyceae,Peridiniaceae,Kryptoperidinium,foliaceum,CCMP 1326,No,No,No,Patrick Keeling
MMETSP0123,Ciliophora,Spirotrichea,Ptychocylididae,Favella,ehrenbergii,Fehren 1,Yes,No,No,Denis Lynn
MMETSP0125,Ciliophora,Oligohymenophorea,Unknown,Aristerstoma,sp.,ATCC 50986,No,No,No,Denis Lynn
MMETSP0126,Ciliophora,Spirotrichea,Strombidinopsidae,Strombidinopsis,asuminatum,SPMC142,Yes,No,No,Denis Lynn
MMETSP0127,Ciliophora,Colopdea,Platyophryidae,Platyophrya,macrostoma,WH,Unknown,No,No,Denis Lynn
MMETSP0132,Dinophyta,Dinophyceae,Symbiodiniaceae,Symbiodinium,kawagutii,CCMP2468,Yes,No,Yes,Senjie Lin
MMETSP0139,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Pseudo-nitzschia,australis,10249 10 AB,Yes,No,No,G Jason Smith
MMETSP0140,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Pseudo-nitzschia,australis,10249 10 AB,Yes,No,No,G Jason Smith
MMETSP0141,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Pseudo-nitzschia,australis,10249 10 AB,Yes,No,No,G Jason Smith
MMETSP0142,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Pseudo-nitzschia,australis,10249 10 AB,Yes,No,No,G Jason Smith
MMETSP0143,Haptophyta,Prymnesiophyceae,Prymnesiaceae,Chrysochromulina,polylepis,CCMP1757,Yes,Yes,No,"Sonya Dyhrman, Andrew Juhl"
MMETSP0145,Haptophyta,Prymnesiophyceae,Prymnesiaceae,Chrysochromulina,polylepis,CCMP1757,Yes,Yes,No,"Sonya Dyhrman, Andrew Juhl"
MMETSP0146,Haptophyta,Prymnesiophyceae,Prymnesiaceae,Chrysochromulina,polylepis,CCMP1757,Yes,Yes,No,"Sonya Dyhrman, Andrew Juhl"
MMETSP0147,Haptophyta,Prymnesiophyceae,Prymnesiaceae,Chrysochromulina,polylepis,CCMP1757,Yes,Yes,No,"Sonya Dyhrman, Andrew Juhl"
MMETSP0149,Bacillariophyta,Coscinodiscophyceae,Chaetocerotaceae,Chaetoceros,debilis,MM31A-1,Yes,No,No,Bank Beszteri
MMETSP0150,Bacillariophyta,Coscinodiscophyceae,Chaetocerotaceae,Chaetoceros,debilis,MM31A-1,Yes,No,No,Bank Beszteri
MMETSP0152,Bacillariophyta,Fragilariophyceae,Thalassionemataceae,Thalassiothrix,antarctica,L6-D1,Yes,No,No,Bank Beszteri
MMETSP0154,Bacillariophyta,Fragilariophyceae,Thalassionemataceae,Thalassiothrix,antarctica,L6-D1,Yes,No,No,Bank Beszteri
MMETSP0156,Bacillariophyta,Fragilariophyceae,Thalassionemataceae,Thalassionema,nitzschioides,L26-B,Yes,No,No,Bank Beszteri
MMETSP0158,Bacillariophyta,Fragilariophyceae,Thalassionemataceae,Thalassionema,nitzschioides,L26-B,Yes,No,No,Bank Beszteri
MMETSP0160,Bacillariophyta,Coscinodiscophyceae,Triceratiaceae,Odontella,Sinensis,Odontella sinensis (Grunow) 1884,Yes,No,No,Declan Schroeder
MMETSP0164,Haptophyta,Prymnesiophyceae,Coccolithaceae,Coccolithus,pelagicus ssp braarudi,PLY182g,Yes,No,No,Glen Wheeler
MMETSP0167,Rhodophyta,Rhodellophyceae,Rhodellaceae,Rhodella,maculata,CCMP736,Yes,Yes,No,Thomas Mock
MMETSP0168,Unknown,Unknown,Vannellidae,Vannella,n. sp.,DIVA3 517/6/12,Yes,No,No,Jan Pawlowski
MMETSP0169,Bacillariophyta,Coscinodiscophyceae,Corethraceae,Corethron,pennatum,L29A3,Yes,No,No,Bank Beszteri
MMETSP0171,Bacillariophyta,Coscinodiscophyceae,Corethraceae,Corethron,pennatum,L29A3,Yes,No,No,Bank Beszteri
MMETSP0174,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniaceae,Proboscia,alata,PI-D3,Yes,No,No,Bank Beszteri
MMETSP0176,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniaceae,Proboscia,alata,PI-D3,Yes,No,No,Bank Beszteri
MMETSP0186,Cercozoa,Haplosporea,Haplosporidiidae,Minchinia,chitonis,,Unknown,Unknown,Yes,Claudio Slamovits
MMETSP0191,Forminafera,Polythalamea,Soritidae,Sorites,sp.,,No,No,No,Jan Pawlowski
MMETSP0196,Dinophyta,Dinophyceae,Goniodomataceae,Alexandrium,fundyense,CCMP1719,Yes,No,Yes,Senjie Lin
